,ngram,risk_factor,umls_id,umls_term
1250,Therapy-related acute myeloid leukemia and myelodysplastic syndrome,cancer,C1336735,Therapy-Related Acute Myeloid Leukemia
1251,Therapy-related acute myeloid leukemia and myelodysplastic syndrome,cancer,C3463824,MYELODYSPLASTIC SYNDROME
1252,Transitional cell carcinoma of bladder,cancer,C0007138,"Carcinoma, Transitional Cell"
1253,Transitional cell carcinoma of bladder,cancer,C0005682,Urinary Bladder
1254,Transitional cell carcinoma of ureter,cancer,C0007138,"Carcinoma, Transitional Cell"
1255,Transitional cell carcinoma of ureter,cancer,C0041951,Ureter
1256,Trichilemmocarcinoma,cancer,C1266009,Trichilemmocarcinoma
1257,"Tumor cells, malignant",cancer,C0431085,"Tumor cells, uncertain whether benign or malignant"
1258,"Tumor cells, malignant",cancer,C0205282,Malignant - descriptor
1259,Undifferentiated carcinoma of nasopharynx,cancer,C0205698,Undifferentiated carcinoma
1260,Undifferentiated carcinoma of nasopharynx,cancer,C0027442,Nasopharynx
1261,Chronic kidney disease stage 1,chron,C2316401,Chronic kidney disease stage 1
1262,Chronic kidney disease stage 4,chron,C2317473,Chronic kidney disease stage 4
1263,Chronic kidney disease stage 5,chron,C2316401,Chronic kidney disease stage 1
1264,Body weight problem,obesity,C2986891,Body Weight Domain
1265,Body weight problem,obesity,C0033213,Problem
1266,Localized adiposity,obesity,C0392752,Localized
1267,Localized adiposity,obesity,C0028754,Obesity
1268,MORM syndrome,obesity,C1857802,MORM syndrome
1269,Maternal obesity syndrome,obesity,C0026591,Mother (person)
1270,Maternal obesity syndrome,obesity,C0269672,Maternal obesity syndrome
1271,Obesity,obesity,C0028754,Obesity
1272,Overweight,obesity,C0497406,Overweight
1273,Syndromic X-linked intellectual disability type 7,obesity,C3463992,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1"
1274,Syndromic X-linked intellectual disability type 7,obesity,C3714756,Intellectual Disability
1275,Wilson Turner syndrome,obesity,C0796255,Wilson Turner syndrome
1276,Benign recurrent intrahepatic cholestasis,chron,C0205183,Benign
1277,Benign recurrent intrahepatic cholestasis,chron,C2945760,Recurrent
1278,Benign recurrent intrahepatic cholestasis,chron,C0008372,Intrahepatic Cholestasis
1279,Cardiac cirrhosis,chron,C0085699,Cardiac cirrhosis
1280,Chronic hepatitis E,chron,C3472600,Chronic hepatitis E
1281,Chronic liver disease,chron,C0341439,Chronic liver disease
1282,Chronic passive congestion of liver,chron,C0333237,Chronic passive congestion
1283,Chronic passive congestion of liver,chron,C0736268,Liver parenchyma
1284,Chronic viral hepatitis,chron,C0276623,Chronic viral hepatitis
1285,Decompensated cirrhosis of liver,chron,C1619727,Decompensated cirrhosis of liver
1286,Decompensated cirrhosis of liver,chron,C0736268,Liver parenchyma
1287,Early cirrhosis,chron,C1279919,Early
1288,Early cirrhosis,chron,C1623038,Cirrhosis
1289,Indian childhood cirrhosis,chron,C1524069,Asian Indian
1290,Indian childhood cirrhosis,chron,C0231335,Childhood
1291,Indian childhood cirrhosis,chron,C1623038,Cirrhosis
1292,Micronodular cirrhosis,chron,C0267812,Micronodular cirrhosis
1293,Occult chronic type B viral hepatitis,chron,C4075603,Occult chronic type B viral hepatitis
1294,Portal cirrhosis,chron,C1622502,Portal cirrhosis
1295,Recurrent hepatitis,chron,C2945760,Recurrent
1296,Recurrent hepatitis,chron,C0019158,Hepatitis
1297,Reynolds syndrome,chron,C0748397,Reynolds syndrome
1298,Syphilitic cirrhosis,chron,C0275872,Syphilitic cirrhosis
1299,Abnormal lung lobation,lung,C1550458,Observation Interpretation - Abnormal
1300,Abnormal lung lobation,lung,C0685695,Abnormal lung lobation
1301,Abscess of pharynx,lung,C0000833,Abscess
1302,Abscess of pharynx,lung,C0031354,Pharyngeal structure
1303,Abscess of tonsil,lung,C0000833,Abscess
1304,Abscess of tonsil,lung,C0040421,Palatine Tonsil
1305,Accessory lung,lung,C0265791,Accessory lung
1306,Acquired laryngocele,lung,C0472522,Acquired laryngocele
1307,Acquired tracheo-esophageal fistula,lung,C0340217,Acquired tracheo-esophageal fistula
1308,Acute aspiration pneumonia,lung,C4023111,Acute aspiration pneumonia
1309,Acute asthma,lung,C0582415,Acute asthma
1310,Acute bacterial bronchitis,lung,C0339933,Acute bacterial bronchitis
1311,Acute bacterial epiglottitis,lung,C0275555,Acute bacterial epiglottitis
1312,Acute bacterial sinusitis,lung,C0275556,Acute bacterial sinusitis
1313,Acute berylliosis,lung,C0221053,Acute berylliosis
1314,Acute bronchiolitis,lung,C0001311,Acute bronchiolitis
1315,Acute bronchopneumonia,lung,C1290336,Acute bronchopneumonia
1316,Acute cardiac pulmonary edema,lung,C0398350,Acute cardiac pulmonary edema
1317,Acute epiglottitis,lung,C0155814,Acute epiglottitis
1318,Acute ethmoidal sinusitis,lung,C0155806,Acute ethmoidal sinusitis
1319,Acute exacerbation of chronic bronchitis,lung,C0743630,exacerbation acute
1320,Acute exacerbation of chronic bronchitis,lung,C0008677,"Bronchitis, Chronic"
1321,Acute exacerbation of chronic obstructive airways disease,lung,C0743630,exacerbation acute
1322,Acute exacerbation of chronic obstructive airways disease,lung,C0024117,Chronic Obstructive Airway Disease
1323,Acute frontal sinusitis,lung,C0155805,Acute frontal sinusitis
1324,Acute hypercapnic respiratory failure,lung,C4040419,Acute hypercapnic respiratory failure
1325,Acute hypoxemic respiratory failure,lung,C4039867,Acute hypoxemic respiratory failure
1326,Acute interstitial pneumonia,lung,C1279945,Acute interstitial pneumonia
1327,Acute laryngitis,lung,C0001327,Acute laryngitis
1328,Acute laryngopharyngitis,lung,C0155817,Acute laryngopharyngitis
1329,Acute lower respiratory tract infection,lung,C1547229,Acute - Triage Code
1330,Acute maxillary sinusitis,lung,C0155804,Acute maxillary sinusitis
1331,Acute membranous laryngitis,lung,C0339874,Acute membranous laryngitis
1332,Acute mountain sickness,lung,C0238284,Acute mountain sickness
1333,Acute on chronic hypercapnic respiratory failure,lung,C1547229,Acute - Triage Code
1334,Acute on chronic hypercapnic respiratory failure,lung,C1960052,Chronic hypercapnic respiratory failure
1335,Acute pansinusitis,lung,C0264227,Acute pansinusitis
1336,Acute pharyngitis,lung,C0001344,Acute pharyngitis
1337,Acute pulmonary blastomycosis,lung,C0348805,Acute pulmonary blastomycosis
1338,Acute pulmonary edema,lung,C0155919,Acute pulmonary edema
1339,Acute pulmonary histoplasmosis,lung,C0343898,Acute pulmonary histoplasmosis
1340,Acute purulent bronchitis,lung,C0339925,Acute purulent bronchitis
1341,Acute radiation pneumonitis,lung,C1510518,Acute radiation pneumonitis
1342,Acute respiratory disease,lung,C0264219,Acute respiratory disease
1343,Acute respiratory failure,lung,C0264490,Acute respiratory failure
1344,Acute respiratory infections,lung,C0339901,Acute respiratory infections
1345,Acute rhinosinusitis,lung,C2317131,Acute rhinosinusitis
1346,Acute silicosis,lung,C0340190,Acute silicosis
1347,Acute sinusitis,lung,C0149512,Acute sinusitis
1348,Acute tonsillitis,lung,C0001361,Acute tonsillitis
1349,Acute tracheitis,lung,C0149513,Acute tracheitis
1350,Acute upper respiratory infection,lung,C0264222,Acute upper respiratory infection
1351,Acute viral bronchiolitis,lung,C0339941,Acute viral bronchiolitis
1352,Acute viral bronchitis,lung,C0339937,Acute viral bronchitis
1353,Acute viral pharyngitis,lung,C0396000,Acute viral pharyngitis
1354,Acute viral tonsillitis,lung,C0396016,Acute viral tonsillitis
1355,Acute-on-chronic respiratory failure,lung,C0264491,Acute-on-chronic respiratory failure
1356,Adenoiditis,lung,C0001427,Adenoiditis
1357,Adenoma of lung,lung,C0001430,Adenoma
1358,Adenoma of lung,lung,C0024109,Lung
1359,Adenoviral bronchiolitis,lung,C0276154,Adenoviral bronchiolitis
1360,Adenoviral pharyngitis,lung,C0276151,Adenoviral pharyngitis
1361,Adenoviral pneumonia,lung,C0276156,Adenoviral pneumonia
1362,Adenoviral respiratory disease,lung,C0276150,Adenoviral respiratory disease
1363,Adhesion of pleura,lung,C0001511,Tissue Adhesions
1364,Adhesion of pleura,lung,C0032225,Pleura
1365,Airway trauma,lung,C0178987,Artificial Airways
1366,Airway trauma,lung,C4049136,"Trauma, nursing specialty"
1367,Allergic asthma,lung,C0155877,Allergic asthma
1368,Allergic bronchitis,lung,C1260881,Allergic bronchitis
1369,Allergic fungal sinusitis,lung,C0700624,allergic
1370,Aluminosis of lung,lung,C0311227,Aluminosis of lung
1371,Aluminosis of lung,lung,C0024109,Lung
1372,Anterior nasal diphtheria,lung,C0012553,Anterior nasal diphtheria
1373,Apnea of prematurity,lung,C0003578,Apnea
1374,Apnea of prematurity,lung,C0021294,"Infant, Premature"
1375,Asbestos-induced pleural fibrosis,lung,C0340024,Asbestos-induced pleural fibrosis
1376,Asbestos-induced pleural plaque,lung,C0340025,Asbestos-induced pleural plaque
1377,Asbestosis,lung,C0003949,Asbestosis
1378,Aspergilloma,lung,C0276651,Aspergilloma
1379,Aspergillus bronchitis,lung,C2919277,Aspergillus bronchitis
1380,Aspiration pneumonitis,lung,C0032290,Aspiration Pneumonia
1381,Asthma,lung,C0004096,Asthma
1382,Asthma-chronic obstructive pulmonary disease overlap syndrome,lung,C4038730,Asthma-chronic obstructive pulmonary disease overlap syndrome
1383,Asthmatic bronchitis,lung,C1319018,Asthmatic bronchitis
1384,Asthmatic pulmonary eosinophilia,lung,C0340076,Asthmatic pulmonary eosinophilia
1385,Atelectasis,lung,C0004144,Atelectasis
1386,Atypical pneumonia,lung,C0702135,Primary atypical pneumonia
1387,Azygos lobe of lung,lung,C0265794,Azygos lobe of lung
1388,Azygos lobe of lung,lung,C0024109,Lung
1389,Bacterial pleurisy,lung,C0275548,Bacterial pleurisy
1390,Bacterial respiratory infection,lung,C0729518,Bacterial respiratory infection
1391,Bacterial sinusitis,lung,C1262006,Bacterial sinusitis
1392,Bacterial tonsillitis,lung,C1696371,Bacterial tonsillitis
1393,Bacterial upper respiratory infection,lung,C0729519,Bacterial upper respiratory infection
1394,Bagassosis,lung,C0004681,Bagassosis
1395,Baritosis,lung,C0340177,Baritosis
1396,Basal pneumonia,lung,C0577702,Basal pneumonia
1397,Bauxite fibrosis of lung,lung,C0264437,Bauxite fibrosis of lung
1398,Bauxite fibrosis of lung,lung,C0024109,Lung
1399,Bilateral bronchopneumonia,lung,C1300643,Bilateral bronchopneumonia
1400,Bilateral pleural effusion,lung,C0747635,Bilateral pleural effusion
1401,Bilateral pneumonia,lung,C1142578,Bilateral pneumonia
1402,Blast lung,lung,C0349512,Blast lung
1403,Bowing of vocal cord,lung,C0544755,Genu varum
1404,Bowing of vocal cord,lung,C0042930,Vocal cord structure
1405,Brittle asthma,lung,C0729337,Brittle asthma
1406,Bronchial compression,lung,C0264351,Bronchial compression
1407,Bronchial diverticulum,lung,C0264363,Bronchial diverticulum
1408,Bronchial hemorrhage,lung,C1321133,Bronchial hemorrhage
1409,Bronchiectasis,lung,C0006267,Bronchiectasis
1410,Bronchiolar disease,lung,C0264364,Bronchiolar disease
1411,Bronchiolectasis,lung,C0264372,Bronchiolectasis
1412,Bronchiolitis,lung,C0006271,Bronchiolitis
1413,Bronchitis,lung,C0006277,Bronchitis
1414,Broncho-esophageal fistula,lung,C0267094,Broncho-esophageal fistula
1415,Bronchobiliary fistula,lung,C0340235,Bronchobiliary fistula
1416,Bronchocentric granulomatosis,lung,C0238036,Bronchocentric granulomatosis
1417,Broncholithiasis,lung,C0221367,Broncholithiasis
1418,Bronchomalacia,lung,C0264353,Bronchomalacia
1419,Bronchopleural fistula,lung,C0238132,Bronchopleural fistula
1420,Bronchopneumonia,lung,C0006285,Bronchopneumonia
1421,Bronchopneumonia due to Klebsiella pneumoniae,lung,C0006285,Bronchopneumonia
1422,Bronchopneumonia due to Klebsiella pneumoniae,lung,C0001699,Klebsiella pneumoniae
1423,Bronchopneumonia due to Streptococcus pneumoniae,lung,C0006285,Bronchopneumonia
1424,Bronchopneumonia due to Streptococcus pneumoniae,lung,C0038410,Streptococcus pneumoniae
1425,Byssinosis,lung,C0006542,Byssinosis
1426,Calcification of bronchus,lung,C1879982,Calcified Medical Device Material
1427,Calcification of bronchus,lung,C0006255,Bronchi
1428,Calcification of pleura,lung,C1879982,Calcified Medical Device Material
1429,Calcification of pleura,lung,C0032225,Pleura
1430,Calcification of trachea,lung,C1879982,Calcified Medical Device Material
1431,Calcification of trachea,lung,C0040578,Trachea
1432,Carcinoid tumor of lung,lung,C0334299,Carcinoid tumor no ICD-O subtype
1433,Carcinoid tumor of lung,lung,C0024109,Lung
1434,Carcinoma of base of tongue,lung,C0007097,Carcinoma
1435,Carcinoma of base of tongue,lung,C0040408,Tongue
1436,Carcinoma of larynx,lung,C0007097,Carcinoma
1437,Carcinoma of larynx,lung,C0023078,Larynx
1438,Carcinoma of lung,lung,C0007097,Carcinoma
1439,Carcinoma of lung,lung,C0024109,Lung
1440,Carcinoma of subglottis,lung,C0007097,Carcinoma
1441,Carcinoma of subglottis,lung,C0456475,Subglottis structure
1442,Cardiorespiratory failure,lung,C1444565,Cardiorespiratory failure
1443,Caseous tonsillitis,lung,C0438707,Caseous tonsillitis
1444,Catamenial pneumothorax,lung,C0340007,Catamenial pneumothorax
1445,Catarrhal nasal discharge,lung,C0017152,Gastritis
1446,Catarrhal nasal discharge,lung,C1260880,Rhinorrhea
1447,Catarrhal pneumonia,lung,C0264380,Catarrhal pneumonia
1448,Cavitary pneumonia,lung,C0747674,Cavitary pneumonia
1449,Childhood asthma,lung,C0264408,Childhood asthma
1450,Childhood bronchiectasis,lung,C0264356,Childhood bronchiectasis
1451,Cholesterol pneumonia,lung,C0549472,Cholesterol pneumonia
1452,Chronic adenotonsillitis,lung,C0396024,Chronic adenotonsillitis
1453,Chronic atelectasis,lung,C1290343,Chronic atelectasis
1454,Chronic atrophic rhinitis,lung,C3241963,Chronic atrophic rhinitis
1455,Chronic berylliosis,lung,C0221052,Chronic berylliosis
1456,Chronic bullous emphysema,lung,C1261120,Chronic bullous emphysema
1457,Chronic disease of respiratory system,lung,C0008679,Chronic disease
1458,Chronic disease of respiratory system,lung,C3541375,RESPIRATORY SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS
1459,Chronic follicular pharyngitis,lung,C0396004,Chronic follicular pharyngitis
1460,Chronic frontal sinusitis,lung,C0008683,Chronic frontal sinusitis
1461,Chronic hypercapnic respiratory failure,lung,C1960052,Chronic hypercapnic respiratory failure
1462,Chronic hypertrophic rhinitis,lung,C0339799,Chronic hypertrophic rhinitis
1463,Chronic interstitial lung disease,lung,C0746105,Chronic interstitial lung disease
1464,Chronic interstitial pneumonia,lung,C0221236,Chronic interstitial pneumonia
1465,Chronic laryngitis,lung,C0155836,Chronic laryngitis
1466,Chronic laryngotracheitis,lung,C0155837,Chronic laryngotracheitis
1467,Chronic lung disease,lung,C0746102,Chronic lung disease
1468,Chronic maxillary sinusitis,lung,C0008698,Chronic maxillary sinusitis
1469,Chronic pansinusitis,lung,C0155827,Chronic pansinusitis
1470,Chronic pneumonia,lung,C4039254,Chronic pneumonia
1471,Chronic pneumonitis of infancy,lung,C3714636,Pneumonitis
1472,Chronic pneumonitis of infancy,lung,C0231330,Infancy
1473,Chronic pulmonary congestion,lung,C0264519,Chronic pulmonary congestion
1474,Chronic pulmonary histoplasmosis,lung,C0343899,Chronic pulmonary histoplasmosis
1475,Chronic recurrent sinusitis,lung,C1997034,Chronic recurrent sinusitis
1476,Chronic respiratory failure,lung,C0264492,Chronic respiratory failure
1477,Chronic respiratory insufficiency,lung,C1998122,Chronic respiratory insufficiency
1478,Chronic rhinitis,lung,C0008711,Chronic rhinitis
1479,Chronic silicosis,lung,C0340192,Chronic silicosis
1480,Chronic sinusitis,lung,C0149516,Chronic sinusitis
1481,Chronic tonsillitis,lung,C0149517,Chronic tonsillitis
1482,Chronic tracheitis,lung,C0264322,Chronic tracheitis
1483,Chronic tracheobronchitis,lung,C0264323,Chronic tracheobronchitis
1484,Chronic ulcerative pharyngitis,lung,C0339861,Chronic ulcerative pharyngitis
1485,Chylothorax,lung,C0008733,Chylothorax
1486,Closed pneumothorax,lung,C0264554,Closed pneumothorax
1487,Community acquired pneumonia,lung,C0009462,Community
1488,Community acquired pneumonia,lung,C0032285,Pneumonia
1489,Complicated pneumoconiosis,lung,C0340170,Complicated pneumoconiosis
1490,Concha bullosa,lung,C0339821,Concha bullosa
1491,Congenital atresia of bronchus,lung,C0243066,Atresia
1492,Congenital atresia of bronchus,lung,C0006255,Bronchi
1493,Congenital bronchiectasis,lung,C0152239,Congenital bronchiectasis
1494,Congenital bronchobiliary fistula,lung,C4304716,Congenital bronchobiliary fistula
1495,Congenital bronchogenic cyst,lung,C0006281,Congenital bronchogenic cyst
1496,Congenital diaphragmatic hernia,lung,C0235833,Congenital diaphragmatic hernia
1497,Congenital diverticulum of pharynx,lung,C0332922,Congenital diverticulum
1498,Congenital diverticulum of pharynx,lung,C0031354,Pharyngeal structure
1499,Congenital hernia of foramen of Morgagni,lung,C0235832,Congenital hernia
1500,Congenital hernia of foramen of Morgagni,lung,C0016521,Cardiac foramen ovale
1501,Congenital hernia of foramen of Morgagni,lung,C0503361,Pulmonary trunk sinus
1502,Congenital hypoplasia of lung,lung,C0020636,Congenital hypoplasia
1503,Congenital hypoplasia of lung,lung,C0024109,Lung
1504,Congenital laryngocele,lung,C0265761,Congenital laryngocele
1505,Congenital pneumonia,lung,C0158935,Congenital pneumonia
1506,Congenital stenosis of nasal pyriform aperture,lung,C0332885,Congenital stenosis
1507,Congenital stenosis of nasal pyriform aperture,lung,C3839990,Congenital stenosis of nasal pyriform aperture
1508,Congenital stenosis of trachea,lung,C0332885,Congenital stenosis
1509,Congenital stenosis of trachea,lung,C0040578,Trachea
1510,Congestion of nasal sinus,lung,C0700148,Congestion
1511,Congestion of nasal sinus,lung,C0030471,Nasal sinus
1512,Contusion of lung,lung,C0009938,Contusions
1513,Contusion of lung,lung,C0024109,Lung
1514,Croup,lung,C0010380,Croup
1515,Cryptogenic pulmonary eosinophilia,lung,C0008680,Cryptogenic pulmonary eosinophilia
1516,Cylindrical bronchiectasis,lung,C0264358,Cylindrical bronchiectasis
1517,Cyst of nasal cavity,lung,C0010709,Cyst
1518,Cyst of nasal cavity,lung,C0027423,Nasal cavity
1519,Cyst of pharynx,lung,C0010709,Cyst
1520,Cyst of pharynx,lung,C0031354,Pharyngeal structure
1521,Cyst of tonsil,lung,C0010709,Cyst
1522,Cyst of tonsil,lung,C0040421,Palatine Tonsil
1523,Cytomegaloviral pneumonia,lung,C0276253,Cytomegaloviral pneumonia
1524,Desquamative interstitial pneumonia,lung,C0238378,Desquamative interstitial pneumonia
1525,Detergent asthma,lung,C0014434,Detergent asthma
1526,Deviated nasal septum,lung,C0012727,Spatial Displacement
1527,Deviated nasal septum,lung,C0027432,Nasal septum structure
1528,Diaphragmatic pleurisy,lung,C0264539,Diaphragmatic pleurisy
1529,Diffuse panbronchiolitis,lung,C0878555,Diffuse panbronchiolitis
1530,Discoid atelectasis,lung,C0264494,Discoid atelectasis
1531,Discoloration of lung,lung,C0332572,Abnormal color
1532,Discoloration of lung,lung,C0024109,Lung
1533,Disorder of lower respiratory system,lung,C0012634,Disease
1534,Disorder of lower respiratory system,lung,C1518033,Lower Respiratory System
1535,Disorder of maxillary sinus,lung,C0012634,Disease
1536,Disorder of maxillary sinus,lung,C0024957,Maxillary Sinus
1537,Disorder of nasal cavity,lung,C0012634,Disease
1538,Disorder of nasal cavity,lung,C0027423,Nasal cavity
1539,Disorder of tonsil (palatine tonsil),lung,C0272380,Disorder of tonsil (palatine tonsil)
1540,Disorder of tonsil (palatine tonsil),lung,C0040421,Palatine Tonsil
1541,Disorder of upper respiratory system,lung,C0012634,Disease
1542,Disorder of upper respiratory system,lung,C1519817,Upper Respiratory System
1543,Drug-induced pneumonitis,lung,C1960026,Drug-induced pneumonitis
1544,Dry pleurisy,lung,C0339999,Dry pleurisy
1545,Edema of glottis,lung,C0013604,Edema
1546,Edema of glottis,lung,C0017681,glottis
1547,Edema of pharynx,lung,C0013604,Edema
1548,Edema of pharynx,lung,C0031354,Pharyngeal structure
1549,Emphysematous bronchitis,lung,C0155874,Emphysematous bronchitis
1550,Empyema with bronchocutaneous fistula,lung,C0014009,Empyema
1551,Empyema with bronchocutaneous fistula,lung,C0340236,Bronchocutaneous fistula
1552,Enteroviral lymphonodular pharyngitis,lung,C0521027,enteroviral
1553,Eosinophilic bronchitis,lung,C1698398,Eosinophilic bronchitis
1554,Epiglottitis,lung,C0014541,Epiglottitis
1555,Epithelioid hemangioendothelioma of lung,lung,C0206732,Epithelioid hemangioendothelioma
1556,Epithelioid hemangioendothelioma of lung,lung,C0024109,Lung
1557,Exacerbation of asthma,lung,C4086268,Exacerbation
1558,Exacerbation of asthma,lung,C0004096,Asthma
1559,Extrinsic allergic alveolitis,lung,C0002390,Extrinsic allergic alveolitis
1560,Exudative pharyngitis,lung,C0747555,Exudative pharyngitis
1561,Exudative pleural effusion,lung,C0264551,Pleurisy with effusion
1562,Fetid chronic bronchitis,lung,C0008677,"Bronchitis, Chronic"
1563,Fibrinous pleurisy,lung,C0264538,Fibrinous pleurisy
1564,Fibroma of lung,lung,C0016045,fibroma
1565,Fibroma of lung,lung,C0024109,Lung
1566,Fibrosis of pleura,lung,C0016059,Fibrosis
1567,Fibrosis of pleura,lung,C0032225,Pleura
1568,Focal atelectasis,lung,C0264496,Focal atelectasis
1569,Focal pneumonia,lung,C1290339,Focal pneumonia
1570,Follicular bronchiolitis,lung,C1272766,Follicular bronchiolitis
1571,Follicular tonsillitis,lung,C0272381,Follicular tonsillitis
1572,Foreign body in bronchus,lung,C0016542,Foreign Bodies
1573,Foreign body in bronchus,lung,C0006255,Bronchi
1574,Foreign body pneumonia,lung,C0264386,Foreign body pneumonia
1575,Fungal infection of lung,lung,C0026946,Mycoses
1576,Fungal infection of lung,lung,C0024109,Lung
1577,Fungal pneumonia,lung,C0016832,Fungi
1578,Fungal pneumonia,lung,C0032285,Pneumonia
1579,Fungal respiratory infection,lung,C0016832,Fungi
1580,Fungal respiratory infection,lung,C0035243,Respiratory Tract Infections
1581,Fungal sinusitis,lung,C1142077,Fungal sinusitis
1582,Game Friedman Paradice syndrome,lung,C1856052,Game Friedman Paradice syndrome
1583,Gonorrhea of pharynx,lung,C0018081,Gonorrhea
1584,Gonorrhea of pharynx,lung,C0031354,Pharyngeal structure
1585,Granulomatous pneumonia,lung,C0264384,Granulomatous pneumonia
1586,Granulomatous rhinitis,lung,C0264269,Granulomatous rhinitis
1587,Group B streptococcal pneumonia,lung,C0348801,Group B streptococcal pneumonia
1588,Gustatory rhinitis,lung,C1997879,Gustatory rhinitis
1589,H-type congenital tracheoesophageal fistula,lung,C0266139,H-type congenital tracheoesophageal fistula
1590,Haemophilus influenzae pneumonia,lung,C0276026,Haemophilus influenzae pneumonia
1591,Hamartoma of lung,lung,C0018552,Hamartoma
1592,Hamartoma of lung,lung,C0024109,Lung
1593,Hard metal pneumoconiosis,lung,C0018599,Hardness
1594,Hard metal pneumoconiosis,lung,C0340175,Metal pneumoconiosis
1595,Hemopneumothorax,lung,C0019077,Hemopneumothorax
1596,Hemorrhagic bronchopneumonia,lung,C0264378,Hemorrhagic bronchopneumonia
1597,Hemorrhagic pleural effusion,lung,C0585110,Hemorrhagic pleural effusion
1598,Hemorrhagic pneumonia,lung,C0339965,Hemorrhagic pneumonia
1599,Hemorrhagic varicella pneumonitis,lung,C0153018,Hemorrhagic varicella pneumonitis
1600,Hemothorax,lung,C0019123,Hemothorax
1601,Herpes simplex pneumonia,lung,C0339975,Herpes simplex pneumonia
1602,High altitude pulmonary edema,lung,C0340100,High altitude pulmonary edema
1603,Humidifier fever,lung,C0340205,Humidifier fever
1604,Hydrothorax,lung,C0020312,Hydrothorax
1605,Hypercapnic respiratory failure,lung,C0398353,Hypercapnic respiratory failure
1606,Hyperplasia of adenoids,lung,C0020507,Hyperplasia
1607,Hyperplasia of adenoids,lung,C0001428,Adenoidal structure
1608,Hyperplasia of tonsils,lung,C0020507,Hyperplasia
1609,Hyperplasia of tonsils,lung,C0040421,Palatine Tonsil
1610,Hypertrophy of adenoids,lung,C0020564,Hypertrophy
1611,Hypertrophy of adenoids,lung,C0001428,Adenoidal structure
1612,Hypertrophy of tonsils,lung,C0020564,Hypertrophy
1613,Hypertrophy of tonsils,lung,C0040421,Palatine Tonsil
1614,Hypostatic pneumonia,lung,C0264522,Hypostatic pneumonia
1615,Hypoxia,lung,C1963140,Hypoxia Adverse Event
1616,"Hypoxia, in liveborn infant",lung,C1963140,Hypoxia Adverse Event
1617,"Hypoxia, in liveborn infant",lung,C0520599,"Hypoxia, in liveborn infant"
1618,Iatrogenic pneumothorax,lung,C0439669,Iatrogenic
1619,Iatrogenic pneumothorax,lung,C0032326,Pneumothorax
1620,Idiopathic bronchiectasis,lung,C0339985,Idiopathic bronchiectasis
1621,Idiopathic pneumonia syndrome,lung,C1504431,Idiopathic pneumonia syndrome
1622,Idiopathic pulmonary hemosiderosis,lung,C0020807,Idiopathic pulmonary hemosiderosis
1623,Infectious disease of lung,lung,C0009450,Communicable Diseases
1624,Infectious disease of lung,lung,C0024109,Lung
1625,Infectious disorder of bronchus,lung,C0009450,Communicable Diseases
1626,Infectious disorder of bronchus,lung,C0006255,Bronchi
1627,Infectious disorder of trachea,lung,C0009450,Communicable Diseases
1628,Infectious disorder of trachea,lung,C0040578,Trachea
1629,Infective pharyngitis,lung,C0729771,Infective pharyngitis
1630,Infective pneumonia,lung,C0729704,Infective pneumonia
1631,Infective pneumonia acquired prenatally,lung,C0729704,Infective pneumonia
1632,Infective pneumonia acquired prenatally,lung,C2828394,Prenatal (temporal qualifier)
1633,Infestation by Pneumonyssus simicola,lung,C0851341,Infestation
1634,Infestation by Pneumonyssus simicola,lung,C0323592,Pneumonyssus simicola
1635,Influenza,lung,C0021400,Influenza
1636,Influenza due to Influenza A virus subtype H1N1,lung,C0021400,Influenza
1637,Influenza due to Influenza A virus subtype H1N1,lung,C1615607,"Influenza A Virus, H1N1 Subtype"
1638,Inhalation injury,lung,C0745334,Inhalation injury
1639,Inhalational anthrax,lung,C0155866,Inhalational anthrax
1640,Injury of bronchus,lung,C3263723,Traumatic injury
1641,Injury of bronchus,lung,C0006255,Bronchi
1642,Injury of larynx,lung,C3263723,Traumatic injury
1643,Injury of larynx,lung,C0023078,Larynx
1644,Injury of pharynx,lung,C3263723,Traumatic injury
1645,Injury of pharynx,lung,C0031354,Pharyngeal structure
1646,Injury of respiratory system,lung,C3263723,Traumatic injury
1647,Injury of respiratory system,lung,C3541375,RESPIRATORY SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS
1648,Injury of trachea,lung,C3263723,Traumatic injury
1649,Injury of trachea,lung,C0040578,Trachea
1650,Intermittent asthma,lung,C0205267,Intermittent
1651,Intermittent asthma,lung,C0004096,Asthma
1652,Intrinsic asthma,lung,C0205102,Internal
1653,Intrinsic asthma,lung,C0004096,Asthma
1654,Irritation of nose,lung,C2700617,Irritation - emotion
1655,Irritation of nose,lung,C0028429,Nose
1656,Kaposi's sarcoma of lung,lung,C0036220,Kaposi Sarcoma
1657,Kaposi's sarcoma of lung,lung,C0024109,Lung
1658,Lady Windermere syndrome,lung,C2733307,Lady Windermere syndrome
1659,Large cell carcinoma of lung,lung,C0549177,Large
1660,Large cell carcinoma of lung,lung,C1518174,Malignant Epithelial Cell
1661,Large cell carcinoma of lung,lung,C0024109,Lung
1662,Laryngeal diphtheria,lung,C0012557,Laryngeal diphtheria
1663,Laryngeal hemiplegia,lung,C0264305,Laryngeal hemiplegia
1664,Laryngeal papillomatosis,lung,C0396072,Laryngeal papillomatosis
1665,Laryngeal web,lung,C0023078,Larynx
